datetime,epoch_ms,ts_millis,mpu_id,ax,ay,az,gx,gy,gz,source_file
2026-05-20 17:31:35.287,1181834743.0,340287.0,1.0,1.03125,-0.06567,0.32446,0.275,1.115,-0.237,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:35.287,1181834743.0,340287.0,2.0,0.98901,-0.25659,-0.24194,0.26,-0.374,0.664,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.487,1181835943.0,340487.0,1.0,1.03271,-0.06445,0.32935,2.305,1.565,-0.153,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.487,1181835943.0,340487.0,2.0,0.97754,-0.25195,-0.24341,-2.588,0.809,1.221,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.694,1181836150.0,340694.0,1.0,1.02368,-0.07227,0.32983,-3.374,0.046,-0.29,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.694,1181836150.0,340694.0,2.0,0.98682,-0.25342,-0.24463,-0.015,0.496,0.29,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.894,1181836350.0,340894.0,1.0,1.02515,-0.07349,0.31201,-2.893,-1.206,-0.344,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.894,1181836350.0,340894.0,2.0,0.98389,-0.25513,-0.2312,0.214,0.763,-0.389,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.094,1181835550.0,341094.0,1.0,1.03613,-0.0752,0.30811,-3.496,-1.244,-0.519,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.094,1181835550.0,341094.0,2.0,1.0144,-0.24316,-0.20605,-2.847,1.344,0.237,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.294,1181835750.0,341294.0,1.0,1.08228,-0.09863,0.28369,-17.893,25.824,-11.405,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:36.294,1181835750.0,341294.0,2.0,0.96899,-0.38477,-0.13867,-18.328,35.588,-2.863,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:37.630,1181837086.0,341630.0,1.0,0.7771,0.11597,0.42383,-46.412,30.817,-18.191,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:37.630,1181837086.0,341630.0,2.0,0.73779,-0.03857,0.21484,-9.687,72.527,11.206,imu_2026-05-20(Alifi).csv
2026-05-20 17:31:37.878,1181837334.0,341878.0,1.0,0.79639,-0.08618,0.55518,-5.947,16.42,-2.931,imu_2026-05-20(Alifi).csv
